"lake","site","year","lc_category","catchment","area_ha","area_pct"
"Rotoehu","3",2008,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
"Rotoehu","3",2009,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
"Rotoehu","3",2010,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
"Rotoehu","3",2011,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
"Rotoehu","3",2012,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2013,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2014,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2015,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2016,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2017,"exotic_forest","Lake Rotoehu",893.047499353557,19.5800397605699
"Rotoehu","3",2018,"exotic_forest","Lake Rotoehu",1003.66307677121,22.0052829929219
"Rotoehu","3",1996,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",1997,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",1998,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",1999,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2000,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2001,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2002,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2003,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2004,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2005,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2006,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2007,"forest_harvested","Lake Rotoehu",0,0
"Rotoehu","3",2008,"forest_harvested","Lake Rotoehu",46.7400468950983,1.02477413270782
"Rotoehu","3",2009,"forest_harvested","Lake Rotoehu",46.7400468950983,1.02477413270782
"Rotoehu","3",2010,"forest_harvested","Lake Rotoehu",46.7400468950983,1.02477413270782
"Rotoehu","3",2011,"forest_harvested","Lake Rotoehu",46.7400468950983,1.02477413270782
"Rotoehu","3",2012,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2013,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2014,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2015,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2016,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2017,"forest_harvested","Lake Rotoehu",251.756817259184,5.51976070197562
"Rotoehu","3",2018,"forest_harvested","Lake Rotoehu",185.792150514458,4.07348735303347
"Rotoehu","3",1996,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",1997,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",1998,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",1999,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2000,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2001,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2002,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2003,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2004,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2005,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2006,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2007,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2008,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2009,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2010,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2011,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2012,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2013,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2014,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2015,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2016,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2017,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",2018,"gorse","Lake Rotoehu",14.7834742763808,0.324127232135389
"Rotoehu","3",1996,"hp_exotic_grassland","Lake Rotoehu",1605.21820433981,35.1943612048803
"Rotoehu","3",1997,"hp_exotic_grassland","Lake Rotoehu",1605.21820433981,35.1943612048803
"Rotoehu","3",1998,"hp_exotic_grassland","Lake Rotoehu",1605.21820433981,35.1943612048803
"Rotoehu","3",1999,"hp_exotic_grassland","Lake Rotoehu",1605.21820433981,35.1943612048803
"Rotoehu","3",2000,"hp_exotic_grassland","Lake Rotoehu",1605.21820433981,35.1943612048803
"Rotoehu","3",2001,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2002,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2003,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2004,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2005,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2006,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2007,"hp_exotic_grassland","Lake Rotoehu",1295.86272458267,28.4117515472981
"Rotoehu","3",2008,"hp_exotic_grassland","Lake Rotoehu",1308.30217388159,28.6844861017857
"Rotoehu","3",2009,"hp_exotic_grassland","Lake Rotoehu",1308.30217388159,28.6844861017857
"Rotoehu","3",2010,"hp_exotic_grassland","Lake Rotoehu",1308.30217388159,28.6844861017857
"Rotoehu","3",2011,"hp_exotic_grassland","Lake Rotoehu",1308.30217388159,28.6844861017857
"Rotoehu","3",2012,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2013,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2014,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2015,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2016,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2017,"hp_exotic_grassland","Lake Rotoehu",1323.69912192473,29.0220637279415
"Rotoehu","3",2018,"hp_exotic_grassland","Lake Rotoehu",1279.0482112518,28.0430938445316
"Rotoehu","3",1996,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",1997,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",1998,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",1999,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2000,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2001,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2002,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2003,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2004,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2005,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2006,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2007,"manuka","Lake Rotoehu",1.27057447585177,0.0278573074488772
"Rotoehu","3",2008,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2009,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2010,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2011,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2012,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2013,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2014,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2015,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2016,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2017,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",2018,"manuka","Lake Rotoehu",25.9260269098183,0.56842736595232
"Rotoehu","3",1996,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",1997,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",1998,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",1999,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2000,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2001,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2002,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2003,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2004,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2005,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2006,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2007,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2008,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2009,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2010,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2011,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2012,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2013,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2014,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2015,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2016,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2017,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",2018,"native_forest","Lake Rotoehu",1151.93220543627,25.2560792121917
"Rotoehu","3",1996,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",1997,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",1998,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",1999,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2000,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2001,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2002,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2003,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2004,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2005,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2006,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2007,"native_hardwood","Lake Rotoehu",25.9970262534677,0.569984024442082
"Rotoehu","3",2008,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2009,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2010,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2011,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2012,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2013,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2014,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2015,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2016,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2017,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",2018,"native_hardwood","Lake Rotoehu",38.0854200563151,0.835021697659364
"Rotoehu","3",1996,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",1997,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",1998,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",1999,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2000,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2001,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2002,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2003,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2004,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2005,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2006,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2007,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2008,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2009,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2010,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2011,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2012,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2013,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2014,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2015,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2016,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2017,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",2018,"settlement","Lake Rotoehu",10.7931517150236,0.236639529112393
"Rotoehu","3",1996,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",1997,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",1998,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",1999,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2000,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2001,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2002,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2003,"water","Lake Rotoehu",790.453722939158,17.3306742757161
"Rotoehu","3",2004,"water","Lake Rotoehu",790.453722939158,17.3306742757161
