"covar","value","std_error","t_value","p_value","id_covar","aic","r2","sig_lags","iter_start","iter_end","start_date","end_date","n","pe"
"Intercept",1.14341286578445,0.528611230621994,2.16305064960319,0.0332800899879906,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"bottom_DRP_ugL",0.00574404355997371,0.00182297200328318,3.1509225317935,0.00223211997198224,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"tli_lag_1",0.542927275188035,0.0807803361655712,6.72103262946598,1.79721630334189e-09,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"tli_lag_10",0.183960107586676,0.0808824730119789,2.27441249922503,0.0254009470939893,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"Intercept",1.17408439027815,0.528471526681525,2.22166064016859,0.0289016742052591,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,1,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"bottom_DRP_ugL",0.00583763802995732,0.00182210029448182,3.20379621672662,0.00189608905786845,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,1,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"tli_lag_1",0.531500679428866,0.0806925561820005,6.58673742135615,3.29039110479793e-09,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,1,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"tli_lag_10",0.188376119789427,0.0811926794317917,2.32011212227178,0.022675718167695,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,1,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"Intercept",1.03876269719847,0.542621302460439,1.91434190380723,0.0588634112198631,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,1,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"bottom_DRP_ugL",0.00482069340484785,0.00184150977077058,2.61779409556466,0.0104368113240809,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,1,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"tli_lag_1",0.541261751581456,0.0836707962243412,6.4689446737211,5.57612554829597e-09,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,1,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"tli_lag_10",0.210180916987078,0.0832485099722052,2.52474088794205,0.0133920393307408,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,1,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"Intercept",1.28634546129258,0.559397380554081,2.29951999420959,0.0238699807847696,"bottom_DRP_ugL",41.7189642649267,0.395058625137267,1,4,104,"2000-10-25","2009-02-17",101,0.89198866443585
"bottom_DRP_ugL",0.00593528454374877,0.00187265051554789,3.16945660413965,0.0021084679139562,"bottom_DRP_ugL",41.7189642649267,0.395058625137267,1,4,104,"2000-10-25","2009-02-17",101,0.89198866443585
"tli_lag_1",0.495016685984936,0.085569066720208,5.78499573453958,1.11848136553074e-07,"bottom_DRP_ugL",41.7189642649267,0.395058625137267,1,4,104,"2000-10-25","2009-02-17",101,0.89198866443585
"tli_lag_10",0.200362992039704,0.0867735192851507,2.30903383532575,0.0233114844297378,"bottom_DRP_ugL",41.7189642649267,0.395058625137267,1,4,104,"2000-10-25","2009-02-17",101,0.89198866443585
"Intercept",1.26745111121378,0.55713769020989,2.27493334858803,0.0253683295031182,"bottom_DRP_ugL",41.6745624009919,0.400232507241764,1,5,105,"2000-11-28","2009-03-17",101,0.890804016248327
"bottom_DRP_ugL",0.00593933771523261,0.00187126698795422,3.17396595646987,0.00207936528044545,"bottom_DRP_ugL",41.6745624009919,0.400232507241764,1,5,105,"2000-11-28","2009-03-17",101,0.890804016248327
"tli_lag_1",0.498607752013167,0.0841428541137769,5.92572901483656,6.09482574502355e-08,"bottom_DRP_ugL",41.6745624009919,0.400232507241764,1,5,105,"2000-11-28","2009-03-17",101,0.890804016248327
"tli_lag_10",0.200884650896579,0.0867882680189098,2.3146521469101,0.0229871168652832,"bottom_DRP_ugL",41.6745624009919,0.400232507241764,1,5,105,"2000-11-28","2009-03-17",101,0.890804016248327
"Intercept",1.56098227085808,0.748771375416483,2.08472482002912,0.0400598126076207,"bottom_DRP_ugL",47.5829755016085,0.378320472967279,1,6,106,"2000-12-15","2009-04-22",101,0.886491108016021
"bottom_DRP_ugL",0.00553117548272814,0.00195626458973378,2.8274168595368,0.00583595038360021,"bottom_DRP_ugL",47.5829755016085,0.378320472967279,1,6,106,"2000-12-15","2009-04-22",101,0.886491108016021
"tli_lag_1",0.492115028328868,0.0868259158905505,5.66783572947517,1.89088859009138e-07,"bottom_DRP_ugL",47.5829755016085,0.378320472967279,1,6,106,"2000-12-15","2009-04-22",101,0.886491108016021
"tli_lag_4",-0.0629836875825118,0.0922686635065221,-0.682611898654626,0.49668674589083,"bottom_DRP_ugL",47.5829755016085,0.378320472967279,1,6,106,"2000-12-15","2009-04-22",101,0.886491108016021
"tli_lag_10",0.204722398816902,0.0927894610629745,2.20631089427237,0.0300276624837732,"bottom_DRP_ugL",47.5829755016085,0.378320472967279,1,6,106,"2000-12-15","2009-04-22",101,0.886491108016021
"Intercept",1.25020943546173,0.562220392777776,2.2236999075839,0.0287588664536751,"bottom_DRP_ugL",45.744126934589,0.388465312220564,1,7,107,"2001-01-18","2009-05-19",101,0.886945195085069
"bottom_DRP_ugL",0.00580154597624602,0.00191995041456418,3.02171656738487,0.00330059451219999,"bottom_DRP_ugL",45.744126934589,0.388465312220564,1,7,107,"2001-01-18","2009-05-19",101,0.886945195085069
"tli_lag_1",0.483345513237198,0.0851297861000363,5.67774847535993,1.76963133268855e-07,"bottom_DRP_ugL",45.744126934589,0.388465312220564,1,7,107,"2001-01-18","2009-05-19",101,0.886945195085069
"tli_lag_10",0.218780970233372,0.0886955856851777,2.46665004287732,0.0155989968444522,"bottom_DRP_ugL",45.744126934589,0.388465312220564,1,7,107,"2001-01-18","2009-05-19",101,0.886945195085069
"Intercept",2.23613640546785,0.373033014311444,5.99447319587888,3.48728207535286e-08,"bottom_DRP_ugL",50.0454208161307,0.372132908318903,1,8,108,"2001-02-14","2009-06-22",101,0.886419478102466
"bottom_DRP_ugL",0.00686059399471305,0.00187899327216208,3.65120732274833,0.000422985317119168,"bottom_DRP_ugL",50.0454208161307,0.372132908318903,1,8,108,"2001-02-14","2009-06-22",101,0.886419478102466
"tli_lag_1",0.480477390616943,0.0839032749714314,5.72656300699279,1.1473166748934e-07,"bottom_DRP_ugL",50.0454208161307,0.372132908318903,1,8,108,"2001-02-14","2009-06-22",101,0.886419478102466
"Intercept",2.27423380045147,0.364185699928819,6.24470922635341,1.12389585771656e-08,"bottom_DRP_ugL",49.7064091273027,0.366670275554763,1,9,109,"2001-03-21","2009-07-21",101,0.886586832069008
"bottom_DRP_ugL",0.00668769563518015,0.00189492474173227,3.52926714602213,0.000638978649289392,"bottom_DRP_ugL",49.7064091273027,0.366670275554763,1,9,109,"2001-03-21","2009-07-21",101,0.886586832069008
"tli_lag_1",0.472267585855119,0.0820757803215255,5.75404320257508,1.01649135409602e-07,"bottom_DRP_ugL",49.7064091273027,0.366670275554763,1,9,109,"2001-03-21","2009-07-21",101,0.886586832069008
"Intercept",2.21433882396269,0.369788919313673,5.98811567440284,3.58818799755492e-08,"bottom_DRP_ugL",52.1006527128251,0.369633330919948,1,10,110,"2001-04-18","2009-08-17",101,0.890372541193891
"bottom_DRP_ugL",0.00685568337395638,0.00191957562803965,3.57145781276547,0.000554557313445535,"bottom_DRP_ugL",52.1006527128251,0.369633330919948,1,10,110,"2001-04-18","2009-08-17",101,0.890372541193891
"tli_lag_1",0.484318031649663,0.0834437085999537,5.80412879264012,8.14682981143264e-08,"bottom_DRP_ugL",52.1006527128251,0.369633330919948,1,10,110,"2001-04-18","2009-08-17",101,0.890372541193891
