"covar","value","std_error","t_value","p_value","id_covar","aic","r2","sig_lags","iter_start","iter_end","start_date","end_date","n","pe"
"Intercept",2.19222427039821,0.363361386553652,6.03317895495348,2.93055535846425e-08,"bottom_DRP_ugL",51.9298094040218,0.376715292402801,1,11,111,"2001-05-22","2009-09-22",101,0.891760089057288
"bottom_DRP_ugL",0.00681917501814011,0.0019176260972601,3.55605038327509,0.000584084031822557,"bottom_DRP_ugL",51.9298094040218,0.376715292402801,1,11,111,"2001-05-22","2009-09-22",101,0.891760089057288
"tli_lag_1",0.488568399069872,0.0821627305325718,5.94635056433754,4.32635800006779e-08,"bottom_DRP_ugL",51.9298094040218,0.376715292402801,1,11,111,"2001-05-22","2009-09-22",101,0.891760089057288
"Intercept",2.13544899798674,0.360223344595127,5.92812495366416,4.69356949456703e-08,"bottom_DRP_ugL",51.3317420943237,0.388108994363256,1,12,112,"2001-06-21","2009-10-28",101,0.890784502288981
"bottom_DRP_ugL",0.00673075373092584,0.00191433121450413,3.51598181126107,0.000667982867625765,"bottom_DRP_ugL",51.3317420943237,0.388108994363256,1,12,112,"2001-06-21","2009-10-28",101,0.890784502288981
"tli_lag_1",0.50181078304436,0.0816468965682781,6.14610970087167,1.7597089953101e-08,"bottom_DRP_ugL",51.3317420943237,0.388108994363256,1,12,112,"2001-06-21","2009-10-28",101,0.890784502288981
"Intercept",2.16978689736729,0.358195939518709,6.05754185902479,2.62604763828772e-08,"bottom_DRP_ugL",51.6810260472005,0.383669258125084,1,13,113,"2001-07-19","2009-11-17",101,0.887697300821638
"bottom_DRP_ugL",0.0067134557754768,0.00192048493382037,3.4957086396517,0.000714648781265032,"bottom_DRP_ugL",51.6810260472005,0.383669258125084,1,13,113,"2001-07-19","2009-11-17",101,0.887697300821638
"tli_lag_1",0.494851267920749,0.0812479789169087,6.09062864722859,2.26188171850371e-08,"bottom_DRP_ugL",51.6810260472005,0.383669258125084,1,13,113,"2001-07-19","2009-11-17",101,0.887697300821638
"Intercept",2.16040540762592,0.358629451946403,6.02406019890635,3.0532595448396e-08,"bottom_DRP_ugL",51.6992262742431,0.383185487154953,1,14,114,"2001-08-22","2009-12-16",101,0.885243688065727
"bottom_DRP_ugL",0.00666192353117071,0.00190563563112651,3.4959062594944,0.000714179396084511,"bottom_DRP_ugL",51.6992262742431,0.383185487154953,1,14,114,"2001-08-22","2009-12-16",101,0.885243688065727
"tli_lag_1",0.496747341160641,0.0812939174927198,6.11051055824842,2.06749229365872e-08,"bottom_DRP_ugL",51.6992262742431,0.383185487154953,1,14,114,"2001-08-22","2009-12-16",101,0.885243688065727
"Intercept",1.71207499413965,0.535013264867366,3.20006083319091,0.00191818296422317,"bottom_DRP_ugL",43.2288686535224,0.403147138973464,1,15,115,"2001-09-18","2010-01-20",101,0.884118925522151
"bottom_DRP_ugL",0.00708903881499777,0.00191264094065575,3.70641381992341,0.000369019631959266,"bottom_DRP_ugL",43.2288686535224,0.403147138973464,1,15,115,"2001-09-18","2010-01-20",101,0.884118925522151
"tli_lag_1",0.425655128484792,0.085183145908608,4.99694069694811,2.981398841943e-06,"bottom_DRP_ugL",43.2288686535224,0.403147138973464,1,15,115,"2001-09-18","2010-01-20",101,0.884118925522151
"tli_lag_10",0.162702025007768,0.0845036386016704,1.92538484377822,0.0574479921074207,"bottom_DRP_ugL",43.2288686535224,0.403147138973464,1,15,115,"2001-09-18","2010-01-20",101,0.884118925522151
"Intercept",1.53803991156981,0.538024389122588,2.85868065215046,0.0053230463319963,"bottom_DRP_ugL",46.8869567626359,0.377540543173869,1,16,116,"2001-10-16","2010-02-17",101,0.885252560557278
"bottom_DRP_ugL",0.00548562074204596,0.00174880031769441,3.136790796835,0.00233090781070001,"bottom_DRP_ugL",46.8869567626359,0.377540543173869,1,16,116,"2001-10-16","2010-02-17",101,0.885252560557278
"tli_lag_1",0.433568689285948,0.0872635318273697,4.96849806794046,3.34246750100651e-06,"bottom_DRP_ugL",46.8869567626359,0.377540543173869,1,16,116,"2001-10-16","2010-02-17",101,0.885252560557278
"tli_lag_10",0.197131905406724,0.0842791576951094,2.33903506866874,0.0216251537770255,"bottom_DRP_ugL",46.8869567626359,0.377540543173869,1,16,116,"2001-10-16","2010-02-17",101,0.885252560557278
"Intercept",1.59087488126918,0.535356644030497,2.97161695667412,0.00382992558354823,"bottom_DRP_ugL",47.4749929309464,0.37939471677572,1,17,117,"2001-11-20","2010-03-23",101,0.879641594171614
"bottom_DRP_ugL",0.00575874389512449,0.00171921018156366,3.34964506194745,0.00119795463294227,"bottom_DRP_ugL",47.4749929309464,0.37939471677572,1,17,117,"2001-11-20","2010-03-23",101,0.879641594171614
"tli_lag_1",0.430538767515571,0.0874826611181058,4.92141827892413,4.03588736359565e-06,"bottom_DRP_ugL",47.4749929309464,0.37939471677572,1,17,117,"2001-11-20","2010-03-23",101,0.879641594171614
"tli_lag_10",0.188466482559668,0.0838876565476967,2.24665332559994,0.0271936100991987,"bottom_DRP_ugL",47.4749929309464,0.37939471677572,1,17,117,"2001-11-20","2010-03-23",101,0.879641594171614
"Intercept",2.1757225232693,0.364874516007331,5.96293363284813,4.0168996603582e-08,"bottom_DRP_ugL",54.6062564545684,0.370847394545271,1,18,118,"2001-12-10","2010-04-21",101,0.880407940444515
"bottom_DRP_ugL",0.00561208365756389,0.00168726677830717,3.32613889499707,0.00124446555783065,"bottom_DRP_ugL",54.6062564545684,0.370847394545271,1,18,118,"2001-12-10","2010-04-21",101,0.880407940444515
"tli_lag_1",0.493949055478906,0.0827419677186759,5.96975234089599,3.89607299424663e-08,"bottom_DRP_ugL",54.6062564545684,0.370847394545271,1,18,118,"2001-12-10","2010-04-21",101,0.880407940444515
"Intercept",2.25320835607823,0.354434011911911,6.35720128529378,6.71648434739662e-09,"bottom_DRP_ugL",49.3482761890914,0.380733614253164,1,19,119,"2002-01-22","2010-05-18",101,0.881712827219503
"bottom_DRP_ugL",0.00590979374918456,0.00164826719205313,3.58545858200523,0.000528955700160958,"bottom_DRP_ugL",49.3482761890914,0.380733614253164,1,19,119,"2002-01-22","2010-05-18",101,0.881712827219503
"tli_lag_1",0.474071238123308,0.0804227154991744,5.89474298624218,5.44738840876967e-08,"bottom_DRP_ugL",49.3482761890914,0.380733614253164,1,19,119,"2002-01-22","2010-05-18",101,0.881712827219503
"Intercept",2.33383438288286,0.359885554021808,6.48493488221937,3.72817284471691e-09,"bottom_DRP_ugL",48.121927021196,0.373238429794153,1,20,120,"2002-02-12","2010-06-16",101,0.884533846683386
"bottom_DRP_ugL",0.00612853124903379,0.00164863673306287,3.71733270654967,0.000336920431448426,"bottom_DRP_ugL",48.121927021196,0.373238429794153,1,20,120,"2002-02-12","2010-06-16",101,0.884533846683386
"tli_lag_1",0.454715945263715,0.0818618871654621,5.55467215585474,2.43220567938411e-07,"bottom_DRP_ugL",48.121927021196,0.373238429794153,1,20,120,"2002-02-12","2010-06-16",101,0.884533846683386
"Intercept",2.42407673957548,0.370378313331139,6.5448668356784,2.82440603395728e-09,"bottom_DRP_ugL",51.012191126748,0.354680051095464,1,21,121,"2002-03-19","2010-07-20",101,0.88031596629993
"bottom_DRP_ugL",0.00632582942705832,0.00168135912325738,3.76233092594934,0.000288167695796865,"bottom_DRP_ugL",51.012191126748,0.354680051095464,1,21,121,"2002-03-19","2010-07-20",101,0.88031596629993
"tli_lag_1",0.432153673853753,0.0843943905231882,5.12064452595358,1.54423437602794e-06,"bottom_DRP_ugL",51.012191126748,0.354680051095464,1,21,121,"2002-03-19","2010-07-20",101,0.88031596629993
"Intercept",2.38688339345542,0.372032390916681,6.41579456986039,5.12981053547328e-09,"bottom_DRP_ugL",51.6756700024904,0.360720320653524,1,22,122,"2002-04-16","2010-08-17",101,0.873555802641666
"bottom_DRP_ugL",0.00633833101389265,0.0016932441387947,3.74330604115036,0.000307899599413609,"bottom_DRP_ugL",51.6756700024904,0.360720320653524,1,22,122,"2002-04-16","2010-08-17",101,0.873555802641666
"tli_lag_1",0.439982127657053,0.0850016921832402,5.17615727824068,1.22418779995348e-06,"bottom_DRP_ugL",51.6756700024904,0.360720320653524,1,22,122,"2002-04-16","2010-08-17",101,0.873555802641666
"Intercept",2.32241728386089,0.373384528579985,6.21990764505763,1.25839494144727e-08,"bottom_DRP_ugL",53.8131995155504,0.373082451657796,1,23,123,"2002-05-22","2010-09-27",101,0.866221506275959
"bottom_DRP_ugL",0.00651198900799453,0.00171306065982323,3.80137677592019,0.000251374039296274,"bottom_DRP_ugL",53.8131995155504,0.373082451657796,1,23,123,"2002-05-22","2010-09-27",101,0.866221506275959
"tli_lag_1",0.452420777064657,0.0854749824317205,5.29301983099046,7.4771296186898e-07,"bottom_DRP_ugL",53.8131995155504,0.373082451657796,1,23,123,"2002-05-22","2010-09-27",101,0.866221506275959
"Intercept",2.31500531914373,0.364115531615074,6.35788676433349,6.69537689279066e-09,"bottom_DRP_ugL",52.8029041511165,0.38726051603283,1,24,124,"2002-06-10","2010-10-19",101,0.865053588671276
"bottom_DRP_ugL",0.00663276256476987,0.00170808774161657,3.88315096652616,0.000188286517469963,"bottom_DRP_ugL",52.8029041511165,0.38726051603283,1,24,124,"2002-06-10","2010-10-19",101,0.865053588671276
"tli_lag_1",0.452713084410438,0.0836068477398983,5.41478475326367,4.44790499848617e-07,"bottom_DRP_ugL",52.8029041511165,0.38726051603283,1,24,124,"2002-06-10","2010-10-19",101,0.865053588671276
"Intercept",2.27379926770139,0.364192394175252,6.24340130125623,1.13062028196083e-08,"bottom_DRP_ugL",53.7834136835378,0.397471579611702,1,25,125,"2002-07-24","2010-11-16",101,0.864747755187264
"bottom_DRP_ugL",0.00672658253826146,0.00172099676238918,3.90853875223057,0.000171994089716813,"bottom_DRP_ugL",53.7834136835378,0.397471579611702,1,25,125,"2002-07-24","2010-11-16",101,0.864747755187264
"tli_lag_1",0.4608350546398,0.08387018896001,5.49462282551349,3.15442266065768e-07,"bottom_DRP_ugL",53.7834136835378,0.397471579611702,1,25,125,"2002-07-24","2010-11-16",101,0.864747755187264
"Intercept",2.24291642232306,0.359454000079963,6.23978707101356,1.14940917746201e-08,"bottom_DRP_ugL",53.7791897926714,0.406730781602995,1,26,126,"2002-08-20","2010-12-14",101,0.856722929735807
"bottom_DRP_ugL",0.00668495023585589,0.00172455638724806,3.87633033357832,0.000192908570942626,"bottom_DRP_ugL",53.7791897926714,0.406730781602995,1,26,126,"2002-08-20","2010-12-14",101,0.856722929735807
"tli_lag_1",0.467974011683792,0.0829926626497047,5.63873957941337,1.68643200345012e-07,"bottom_DRP_ugL",53.7791897926714,0.406730781602995,1,26,126,"2002-08-20","2010-12-14",101,0.856722929735807
"Intercept",2.24009215335201,0.353356552519759,6.3394668568563,7.28599682648624e-09,"bottom_DRP_ugL",52.7956652998208,0.411838896010014,1,27,127,"2002-09-24","2011-01-18",101,0.851839656140614
"bottom_DRP_ugL",0.00676694648801351,0.00170854842062183,3.96064074411814,0.000142674524514501,"bottom_DRP_ugL",52.7956652998208,0.411838896010014,1,27,127,"2002-09-24","2011-01-18",101,0.851839656140614
"tli_lag_1",0.46771260569732,0.0816205545357386,5.7303286942571,1.12845628650031e-07,"bottom_DRP_ugL",52.7956652998208,0.411838896010014,1,27,127,"2002-09-24","2011-01-18",101,0.851839656140614
"Intercept",2.17372693000454,0.357295987714181,6.08382686833702,2.33243402503102e-08,"bottom_DRP_ugL",54.9050561392727,0.411334596520391,1,28,128,"2002-10-23","2011-02-15",101,0.848211662815932
"bottom_DRP_ugL",0.00654682176410076,0.00173027768081797,3.7836827213802,0.00026745611081227,"bottom_DRP_ugL",54.9050561392727,0.411334596520391,1,28,128,"2002-10-23","2011-02-15",101,0.848211662815932
"tli_lag_1",0.483153383696457,0.0826222648217241,5.84773831531933,6.7144104553392e-08,"bottom_DRP_ugL",54.9050561392727,0.411334596520391,1,28,128,"2002-10-23","2011-02-15",101,0.848211662815932
"Intercept",2.20901152818486,0.354320082224926,6.23450839792524,1.17740557444161e-08,"bottom_DRP_ugL",55.3569652405505,0.408996156838246,1,29,129,"2002-11-21","2011-03-25",101,0.854285147797022
"bottom_DRP_ugL",0.00657363999383546,0.00173413965452161,3.79072122403482,0.000260944900406856,"bottom_DRP_ugL",55.3569652405505,0.408996156838246,1,29,129,"2002-11-21","2011-03-25",101,0.854285147797022
"tli_lag_1",0.475223372550827,0.0819984262231435,5.79551821223489,8.46327184470547e-08,"bottom_DRP_ugL",55.3569652405505,0.408996156838246,1,29,129,"2002-11-21","2011-03-25",101,0.854285147797022
"Intercept",2.20211847388743,0.351853058733654,6.2586310370955,1.05472036264416e-08,"bottom_DRP_ugL",53.9947291902348,0.416118061522227,1,30,130,"2002-12-17","2011-04-20",101,0.857492726484127
"bottom_DRP_ugL",0.00670600667465545,0.00172176740855041,3.89483889714311,0.000180610846375343,"bottom_DRP_ugL",53.9947291902348,0.416118061522227,1,30,130,"2002-12-17","2011-04-20",101,0.857492726484127
"tli_lag_1",0.475122670779078,0.081440022574411,5.83401938948339,7.13602194520469e-08,"bottom_DRP_ugL",53.9947291902348,0.416118061522227,1,30,130,"2002-12-17","2011-04-20",101,0.857492726484127
"Intercept",2.24126346451555,0.351936925602778,6.36836689039332,6.38070818141909e-09,"bottom_DRP_ugL",53.6387904205089,0.413443044310514,1,31,131,"2003-01-21","2011-05-23",101,0.863353389119319
"bottom_DRP_ugL",0.00674777081671304,0.00172008996072401,3.92291738850264,0.000163373277792633,"bottom_DRP_ugL",53.6387904205089,0.413443044310514,1,31,131,"2003-01-21","2011-05-23",101,0.863353389119319
"tli_lag_1",0.46591995109525,0.0816069270538454,5.7093186560968,1.2377165084997e-07,"bottom_DRP_ugL",53.6387904205089,0.413443044310514,1,31,131,"2003-01-21","2011-05-23",101,0.863353389119319
"Intercept",2.25324342584579,0.353448547591728,6.37502527934711,6.1884219386199e-09,"bottom_DRP_ugL",53.5172841731452,0.412723638049084,1,32,132,"2003-02-20","2011-06-20",101,0.863672616497003
"bottom_DRP_ugL",0.00678956911371953,0.00171897609918404,3.94977516961544,0.000148364096632196,"bottom_DRP_ugL",53.5172841731452,0.412723638049084,1,32,132,"2003-02-20","2011-06-20",101,0.863672616497003
"tli_lag_1",0.462827694661805,0.0820474752708809,5.64097424245868,1.67003921913407e-07,"bottom_DRP_ugL",53.5172841731452,0.412723638049084,1,32,132,"2003-02-20","2011-06-20",101,0.863672616497003
"Intercept",2.26660318013652,0.35718520403267,6.34573648221219,7.07940870578737e-09,"bottom_DRP_ugL",55.2519961665631,0.413243258744849,1,33,133,"2003-03-21","2011-07-19",101,0.865590138196286
"bottom_DRP_ugL",0.00708446569256291,0.00173312511469218,4.08768278326011,8.98766136498434e-05,"bottom_DRP_ugL",55.2519961665631,0.413243258744849,1,33,133,"2003-03-21","2011-07-19",101,0.865590138196286
"tli_lag_1",0.456991045836045,0.0829884200185372,5.50668449566779,2.99422538763668e-07,"bottom_DRP_ugL",55.2519961665631,0.413243258744849,1,33,133,"2003-03-21","2011-07-19",101,0.865590138196286
"Intercept",2.29961531416726,0.355154907930538,6.47496419961348,3.90406334227109e-09,"bottom_DRP_ugL",55.6531986410907,0.411990309699585,1,34,134,"2003-04-15","2011-08-16",101,0.865005280513539
"bottom_DRP_ugL",0.00705873035836267,0.00174096167077683,4.05450072614926,0.000101494985117449,"bottom_DRP_ugL",55.6531986410907,0.411990309699585,1,34,134,"2003-04-15","2011-08-16",101,0.865005280513539
"tli_lag_1",0.45002301730527,0.0827726956436413,5.43685346726824,4.04583000573593e-07,"bottom_DRP_ugL",55.6531986410907,0.411990309699585,1,34,134,"2003-04-15","2011-08-16",101,0.865005280513539
"Intercept",2.30307961857049,0.354594140224089,6.49497371026785,3.55899521561137e-09,"bottom_DRP_ugL",55.3954833138334,0.414529714989691,1,35,135,"2003-05-28","2011-09-21",101,0.868034470444108
"bottom_DRP_ugL",0.00711247081996604,0.00173712507534486,4.0943918897458,8.76878405065128e-05,"bottom_DRP_ugL",55.3954833138334,0.414529714989691,1,35,135,"2003-05-28","2011-09-21",101,0.868034470444108
"tli_lag_1",0.448615478752768,0.0827051718626789,5.42427358107223,4.27044404319098e-07,"bottom_DRP_ugL",55.3954833138334,0.414529714989691,1,35,135,"2003-05-28","2011-09-21",101,0.868034470444108
"Intercept",2.30257209971968,0.354607862295158,6.49329116623796,3.58681111872924e-09,"bottom_DRP_ugL",55.413484697198,0.419388450435833,1,36,136,"2003-06-17","2011-10-25",101,0.866264663173078
"bottom_DRP_ugL",0.00727030821270074,0.00173646944537945,4.18683336585403,6.22760596452185e-05,"bottom_DRP_ugL",55.413484697198,0.419388450435833,1,36,136,"2003-06-17","2011-10-25",101,0.866264663173078
"tli_lag_1",0.447058001520539,0.0827947854516703,5.39959127959211,4.74720249644219e-07,"bottom_DRP_ugL",55.413484697198,0.419388450435833,1,36,136,"2003-06-17","2011-10-25",101,0.866264663173078
"Intercept",2.29956604161075,0.353248326821645,6.50977192815354,3.32335595822522e-09,"bottom_DRP_ugL",55.0351049360224,0.430252463687438,1,37,137,"2003-07-31","2011-11-14",101,0.863396620565429
"bottom_DRP_ugL",0.00754554592763879,0.00174034288038198,4.33566627168473,3.55521875387729e-05,"bottom_DRP_ugL",55.0351049360224,0.430252463687438,1,37,137,"2003-07-31","2011-11-14",101,0.863396620565429
"tli_lag_1",0.445197718779941,0.0826882489640484,5.38405062820361,5.07372374816069e-07,"bottom_DRP_ugL",55.0351049360224,0.430252463687438,1,37,137,"2003-07-31","2011-11-14",101,0.863396620565429
"Intercept",2.27727272560246,0.350719404062731,6.4931472260233,3.58920069805031e-09,"bottom_DRP_ugL",55.0445863075613,0.435383393509915,1,38,138,"2003-08-19","2011-12-21",101,0.863814616952292
"bottom_DRP_ugL",0.00748915850734579,0.00175021227137802,4.27900011319727,4.40713940028655e-05,"bottom_DRP_ugL",55.0445863075613,0.435383393509915,1,38,138,"2003-08-19","2011-12-21",101,0.863814616952292
"tli_lag_1",0.450488156950376,0.0823730776907244,5.46887611316121,3.52500020907564e-07,"bottom_DRP_ugL",55.0445863075613,0.435383393509915,1,38,138,"2003-08-19","2011-12-21",101,0.863814616952292
"Intercept",2.23461775606047,0.352476498230106,6.3397638346987,7.27607829518308e-09,"bottom_DRP_ugL",56.7414354471468,0.445307188978222,1,39,139,"2003-09-17","2012-01-17",101,0.864432990202735
"bottom_DRP_ugL",0.00775656185118953,0.00176950861587365,4.38345526074758,2.96229273547496e-05,"bottom_DRP_ugL",56.7414354471468,0.445307188978222,1,39,139,"2003-09-17","2012-01-17",101,0.864432990202735
"tli_lag_1",0.457395864952688,0.0829077134196409,5.51692775119197,2.86446413801727e-07,"bottom_DRP_ugL",56.7414354471468,0.445307188978222,1,39,139,"2003-09-17","2012-01-17",101,0.864432990202735
"Intercept",2.18581078920087,0.343468047256487,6.36394216772252,6.5117396438214e-09,"bottom_DRP_ugL",54.9368488474351,0.459606231100402,1,40,140,"2003-10-21","2012-02-22",101,0.864181563194861
"bottom_DRP_ugL",0.0075585611721685,0.00175915855248366,4.29669125702001,4.12201744262341e-05,"bottom_DRP_ugL",54.9368488474351,0.459606231100402,1,40,140,"2003-10-21","2012-02-22",101,0.864181563194861
"tli_lag_1",0.47011254592398,0.0810602083670414,5.79954771144068,8.31370993248627e-08,"bottom_DRP_ugL",54.9368488474351,0.459606231100402,1,40,140,"2003-10-21","2012-02-22",101,0.864181563194861
"Intercept",2.1863773867264,0.341660614563389,6.3992666802417,5.53548325385469e-09,"bottom_DRP_ugL",54.6630476843627,0.462306009329973,1,41,141,"2003-11-18","2012-03-28",101,0.869082639719554
"bottom_DRP_ugL",0.00758616034966741,0.00175756587409502,4.31628791926422,3.82693535637587e-05,"bottom_DRP_ugL",54.6630476843627,0.462306009329973,1,41,141,"2003-11-18","2012-03-28",101,0.869082639719554
